user_id,Taste_Score,Taste_Label
50174,0.9999930816913882,Mainstream
88675,0.9999930816913882,Mainstream
74292,0.999993081691388,Mainstream
28979,0.999993081691388,Mainstream
80363,0.999993081691388,Mainstream
80928,0.999993081691388,Mainstream
18802,0.9999861633827762,Mainstream
77379,0.9999792450741642,Mainstream
22319,0.9999792450741642,Mainstream
51000,0.999978997991714,Mainstream
40173,0.9999723267655524,Mainstream
41906,0.9999723267655524,Mainstream
74091,0.9999695594421076,Mainstream
37775,0.9999654084569404,Mainstream
44313,0.9999584901483284,Mainstream
57534,0.9999515718397168,Mainstream
36038,0.9999515718397166,Mainstream
21838,0.9999308169138807,Mainstream
36086,0.9999308169138807,Mainstream
28706,0.999923898605269,Mainstream
37159,0.999923898605269,Mainstream
62181,0.999923898605269,Mainstream
50899,0.999923898605269,Mainstream
359,0.999923898605269,Mainstream
39534,0.999923898605269,Mainstream
29519,0.999923898605269,Mainstream
70072,0.9999238986052688,Mainstream
15840,0.9999169802966572,Mainstream
27563,0.9999169802966572,Mainstream
56584,0.9999169802966572,Mainstream
19016,0.9999100619880452,Mainstream
43471,0.9998996845251272,Mainstream
79433,0.9998962253708212,Mainstream
87330,0.9998962253708212,Mainstream
26285,0.9998858479079036,Mainstream
92707,0.9998858479079036,Mainstream
41612,0.9998858479079036,Mainstream
89994,0.9998754704449856,Mainstream
81964,0.9998754704449856,Mainstream
11743,0.9998754704449856,Mainstream
28008,0.9998616338277618,Mainstream
21931,0.9998591180791756,Mainstream
41822,0.99985471551915,Mainstream
92596,0.9998547155191498,Mainstream
25431,0.9998547155191498,Mainstream
27820,0.9998547155191498,Mainstream
51393,0.9998547155191498,Mainstream
85636,0.9998547155191498,Mainstream
87716,0.9998547155191498,Mainstream
58807,0.999847797210538,Mainstream
73314,0.999847797210538,Mainstream
30799,0.999847797210538,Mainstream
92630,0.9998477972105378,Mainstream
75741,0.999840878901926,Mainstream
86719,0.9998378040980984,Mainstream
80804,0.9998367279167588,Mainstream
92632,0.9998270422847022,Mainstream
44912,0.999827042284702,Mainstream
52814,0.9998201239760904,Mainstream
21874,0.9998132056674784,Mainstream
54545,0.9998090546823112,Mainstream
67599,0.9998066018274396,Mainstream
92623,0.9997993690502546,Mainstream
86500,0.999797886555552,Mainstream
873,0.999793834403365,Mainstream
20868,0.999790144638772,Mainstream
45637,0.9997820732787248,Mainstream
80021,0.9997716958158068,Mainstream
74211,0.9997716958158068,Mainstream
87674,0.9997716958158068,Mainstream
43992,0.9997716958158068,Mainstream
91966,0.9997647775071952,Mainstream
22171,0.9997608412281572,Mainstream
32534,0.9997593631787162,Mainstream
38392,0.9997578591985832,Mainstream
84115,0.9997578591985832,Mainstream
87883,0.9997578591985832,Mainstream
78944,0.9997578591985832,Mainstream
79799,0.9997578591985832,Mainstream
24986,0.9997578591985832,Mainstream
22164,0.9997578591985832,Mainstream
81208,0.9997509408899712,Mainstream
85950,0.9997509408899712,Mainstream
81357,0.9997509408899712,Mainstream
2204,0.9997440225813592,Mainstream
26634,0.9997440225813592,Mainstream
49792,0.999739410375618,Mainstream
67462,0.9997371042727474,Mainstream
21941,0.9997371042727474,Mainstream
71409,0.9997371042727474,Mainstream
77988,0.9997371042727474,Mainstream
24172,0.9997371042727474,Mainstream
26855,0.9997371042727474,Mainstream
40295,0.9997334630576884,Mainstream
38743,0.9997269574201166,Mainstream
10697,0.9997163493469116,Mainstream
45230,0.9997094310382998,Mainstream
76097,0.9997094310382998,Mainstream
87373,0.9997025127296878,Mainstream
3344,0.9996817578038522,Mainstream
47626,0.9996817578038522,Mainstream
36456,0.9996817578038522,Mainstream
21778,0.9996817578038522,Mainstream
11429,0.9996798709924124,Mainstream
6256,0.9996748394952402,Mainstream
29456,0.9996610028780164,Mainstream
74443,0.9996610028780164,Mainstream
89891,0.9996402479521806,Mainstream
2967,0.9996333296435688,Mainstream
29164,0.9996264113349568,Mainstream
84620,0.9996264113349568,Mainstream
41389,0.9996264113349568,Mainstream
746,0.9996264113349568,Mainstream
82205,0.9996264113349568,Mainstream
88806,0.9996194930263448,Mainstream
32807,0.9996194930263448,Mainstream
13655,0.9996171869234742,Mainstream
40867,0.9996036216124704,Mainstream
79393,0.9995940336506532,Mainstream
24249,0.9995833049505288,Mainstream
81067,0.9995641465574496,Mainstream
39452,0.9995641465574496,Mainstream
75290,0.9995641465574496,Mainstream
28789,0.9995572282488376,Mainstream
8887,0.9995572282488376,Mainstream
45912,0.999550309940226,Mainstream
17173,0.999550309940226,Mainstream
66497,0.999550309940226,Mainstream
47695,0.999522636705778,Mainstream
31840,0.999522636705778,Mainstream
30036,0.999522636705778,Mainstream
58484,0.9995214836543428,Mainstream
37588,0.9995157183971662,Mainstream
56542,0.9995157183971662,Mainstream
14653,0.9995157183971662,Mainstream
81824,0.999515718397166,Mainstream
39770,0.9995095862599876,Mainstream
7836,0.9995088000885544,Mainstream
60929,0.9995044469954952,Mainstream
86620,0.9994984226256364,Mainstream
90959,0.9994905159872228,Mainstream
41303,0.9994807425036284,Mainstream
85400,0.9994775173017876,Mainstream
43352,0.9994750636173456,Mainstream
90080,0.9994742085454948,Mainstream
81794,0.9994583692599884,Mainstream
31564,0.9994465353110472,Mainstream
72810,0.9994465353110472,Mainstream
80333,0.9994396170024352,Mainstream
11242,0.9994396170024352,Mainstream
77622,0.9994326986938232,Mainstream
23199,0.9994326986938232,Mainstream
770,0.9994192944708876,Mainstream
59631,0.99938427053354,Mainstream
90793,0.9993676209776498,Mainstream
24962,0.99935156580192,Mainstream
49884,0.999308169138809,Mainstream
67306,0.9993081691388088,Mainstream
10779,0.9993081691388088,Mainstream
83413,0.999304709984503,Mainstream
50527,0.9993047099845028,Mainstream
847,0.9993012508301968,Mainstream
24737,0.9992874142129732,Mainstream
33212,0.9992804959043612,Mainstream
32323,0.999274565925551,Mainstream
30180,0.9992389860526898,Mainstream
34951,0.999232067744078,Mainstream
37835,0.999225149435466,Mainstream
81272,0.9991905578924064,Mainstream
74048,0.9991851902391732,Mainstream
58006,0.9991834089735075,Mainstream
47789,0.9991767212751826,Mainstream
77779,0.9991767212751826,Mainstream
35316,0.9991282931148991,Mainstream
52600,0.9991213748062872,Mainstream
92396,0.9991006198804516,Mainstream
83033,0.9990937015718396,Mainstream
67033,0.999079864954616,Mainstream
44004,0.999079864954616,Mainstream
81798,0.9990779781431762,Mainstream
20477,0.9990521917201682,Mainstream
37898,0.9990521917201682,Mainstream
14006,0.9990521917201682,Mainstream
82566,0.9990452734115564,Mainstream
78728,0.9990383551029444,Mainstream
58059,0.999032589845768,Mainstream
33782,0.9990314367943324,Mainstream
70824,0.998996845251273,Mainstream
85403,0.9989899269426612,Mainstream
29014,0.9989632420380152,Mainstream
12680,0.9989622537082136,Mainstream
87195,0.9989622537082136,Mainstream
35353,0.9989553353996016,Mainstream
80862,0.9989414987823776,Mainstream
66214,0.9989414987823776,Mainstream
4384,0.9989414987823776,Mainstream
44098,0.9989414987823776,Mainstream
40604,0.9989414987823776,Mainstream
92293,0.9989331968120434,Mainstream
32843,0.9989311213194598,Mainstream
66238,0.9989311213194598,Mainstream
37393,0.9989311213194598,Mainstream
37210,0.9989232146810462,Mainstream
62070,0.9989069072393182,Mainstream
90685,0.9989069072393182,Mainstream
44465,0.9988982593535533,Mainstream
89863,0.998891917570659,Mainstream
55071,0.9988584790790348,Mainstream
38097,0.9988467179543944,Mainstream
54287,0.998836722191262,Mainstream
59856,0.9988308058445872,Mainstream
44515,0.9988308058445872,Mainstream
17423,0.9988308058445872,Mainstream
91630,0.9988238875359752,Mainstream
92291,0.9988238875359752,Mainstream
41961,0.9988238875359752,Mainstream
29278,0.9988238875359752,Mainstream
88508,0.9988238875359752,Mainstream
